name	cat	ranks	pid	tid	eid	abs_start_us	abs_end_us	rel_start_us	rel_end_us	dur_us	op_type	input_dims	input_type
allreduce_ring_4_1	op	[4, 5, 6, 7]	0	0	178	1760078804933275	1760078804933275	3912667	3912667	0	comm	[8192, 6]	torch.float32
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	180	1760078804935630	1760078804935630	3915022	3915022	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	181	1760078804937102	1760078804937102	3916494	3916494	0	comm	[1, 2048, 512]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	182	1760078804940468	1760078804940468	3919860	3919860	0	comm	[1, 1, 2048, 64]	torch.bfloat16
allgather_ring_4_4	op	[4, 5, 6, 7]	0	0	183	1760078804941919	1760078804941919	3921311	3921311	0	comm	[1, 2048, 512]	torch.bfloat16
allreduce_ring_8_1	op	[0, 1, 2, 3, 4, 5, 6, 7]	0	0	185	1760078804944729	1760078804944729	3924121	3924121	0	comm	[321792000]	torch.bfloat16
allreduce_ring_2_1	op	[3, 7]	0	0	186	1760078804944886	1760078804944886	3924278	3924278	0	comm	[132096]	torch.bfloat16
allreduce_ring_2_1	op	[3, 7]	0	0	187	1760078804944937	1760078804944937	3924329	3924329	0	comm	[190840832]	torch.bfloat16
allreduce_ring_2_1	op	[3, 7]	0	0	188	1760078804945272	1760078804945272	3924664	3924664	0	comm	1	torch.float64
allreduce_ring_2_1	op	[3, 7]	0	0	189	1760078804990121	1760078804990121	3969513	3969513	0	comm	1	torch.float64
allreduce_ring_2_1	op	[3, 7]	0	0	190	1760078804990159	1760078804990159	3969551	3969551	0	comm	1	torch.int64
allreduce_ring_8_1	op	[0, 1, 2, 3, 4, 5, 6, 7]	0	0	192	1760078805007183	1760078805007183	3986575	3986575	0	comm	1	torch.float64
